RowNumber,CustomerId,CustomerId_ref_number,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
113,CUS15715951,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0
114,CUS15591100,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
115,CUS15609618,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
116,CUS15675522,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
117,CUS15705512,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
118,CUS15698028,15698028,Duncan,506,France,Female,41,1,0,2,1,0,31766.3,0
119,CUS15661670,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
120,CUS15600781,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
121,CUS15682472,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0
122,CUS15580203,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
123,CUS15690673,15690673,Cameron,656,France,Female,39,6,0,2,1,0,141069.88,0
124,CUS15760085,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
125,CUS15779659,15779659,Zetticci,625,France,Female,28,3,0,1,0,0,183646.41,0
126,CUS15627360,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1
127,CUS15671137,15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1
128,CUS15782688,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
129,CUS15575492,15575492,Kennedy,828,France,Female,41,7,0,2,1,0,171378.77,0
130,CUS15591607,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0
131,CUS15740404,15740404,He,758,France,Female,34,3,0,2,1,1,124226.16,0
132,CUS15718369,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0
133,CUS15677871,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0
134,CUS15642004,15642004,Alekseeva,686,France,Male,25,1,0,2,0,1,16459.37,0
135,CUS15712543,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
136,CUS15584518,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
137,CUS15802381,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
138,CUS15610156,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0
139,CUS15594408,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
140,CUS15640905,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
141,CUS15698932,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
142,CUS15724944,15724944,Tien,663,France,Male,34,7,0,2,1,1,180427.24,0
143,CUS15628145,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
144,CUS15713483,15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1
145,CUS15612350,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1
146,CUS15800703,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
147,CUS15705707,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
148,CUS15754105,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0
149,CUS15703264,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0
150,CUS15794413,15794413,Harris,416,France,Male,32,0,0,2,0,1,878.87,0
151,CUS15650237,15650237,Morgan,754,Spain,Female,32,7,0,2,1,0,89520.75,0
152,CUS15759618,15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1
153,CUS15811589,15811589,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800.42,0
154,CUS15689044,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0
155,CUS15709368,15709368,Milne,614,France,Female,43,6,0,2,1,1,109041.53,0
156,CUS15679145,15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1
157,CUS15655007,15655007,Li,758,France,Female,33,7,0,2,0,0,82996.47,0
158,CUS15623595,15623595,Clayton,586,Spain,Female,28,2,0,2,1,1,92067.35,0
159,CUS15589975,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
160,CUS15804017,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
161,CUS15692132,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
162,CUS15641122,15641122,Wei,684,France,Male,30,2,0,2,1,0,83473.82,0
163,CUS15630910,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0
164,CUS15680772,15680772,Hu,721,Spain,Female,36,2,0,2,1,1,106977.8,0
165,CUS15658929,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
166,CUS15585388,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
167,CUS15724623,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
168,CUS15588537,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
169,CUS15574692,15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1
170,CUS15611325,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
171,CUS15587562,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0
172,CUS15613172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
173,CUS15651022,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
174,CUS15586310,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0
175,CUS15625524,15625524,Rowe,512,France,Male,40,5,0,2,1,1,146457.83,0
176,CUS15755209,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
177,CUS15645248,15645248,Ho,510,France,Female,30,0,0,2,1,1,130553.47,0
178,CUS15790355,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0
179,CUS15762615,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
180,CUS15625426,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1
181,CUS15716334,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
182,CUS15789669,15789669,Hsia,510,France,Male,65,2,0,2,1,1,48071.61,0
183,CUS15621075,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
184,CUS15810845,15810845,T'ang,636,France,Male,42,2,0,2,1,1,55470.78,0
185,CUS15719377,15719377,Cocci,804,France,Female,50,4,0,1,1,1,8546.87,1
186,CUS15654506,15654506,Chang,514,France,Male,32,8,0,2,1,0,95857.18,0
187,CUS15771977,15771977,T'ao,730,France,Female,39,1,99010.67,1,1,0,194945.8,0
188,CUS15708710,15708710,Ford,525,Spain,Female,37,0,0,1,0,1,131521.72,0
189,CUS15726676,15726676,Marshall,616,Spain,Male,30,5,0,2,0,1,196108.51,0
190,CUS15587421,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
191,CUS15726931,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,0,0,92982.61,1
192,CUS15771086,15771086,Graham,512,France,Female,36,3,84327.77,2,1,0,17675.36,0
193,CUS15756850,15756850,Golovanov,479,France,Male,40,1,0,2,0,0,114996.43,0
194,CUS15702741,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0
195,CUS15679200,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
196,CUS15594815,15594815,Aleshire,807,France,Male,35,3,174790.15,1,1,1,600.36,0
197,CUS15635905,15635905,Moran,616,Spain,Female,32,6,0,2,1,1,43001.46,0
198,CUS15777892,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
199,CUS15656176,15656176,Jenkins,501,France,Male,57,10,0,2,1,1,47847.19,0
200,CUS15811127,15811127,Volkov,521,France,Male,35,6,96423.84,1,1,0,10488.44,0
201,CUS15604482,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
202,CUS15622911,15622911,Jude,759,France,Male,42,4,105420.18,1,0,1,121409.06,0
203,CUS15600974,15600974,He,516,Spain,Male,50,5,0,1,0,1,146145.93,1
204,CUS15727868,15727868,Onuora,711,France,Female,38,2,129022.06,2,1,1,14374.86,1
205,CUS15627801,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
206,CUS15773039,15773039,Ku,550,France,Male,37,3,0,1,1,1,179670.31,0
207,CUS15755262,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
208,CUS15679531,15679531,Collins,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
209,CUS15684181,15684181,Hackett,643,France,Male,45,5,0,1,1,0,142513.5,1
210,CUS15612087,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0
211,CUS15752047,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0
212,CUS15624592,15624592,Tan,603,France,Male,31,8,0,2,1,1,169915.02,0
213,CUS15573152,15573152,Glassman,620,France,Female,41,9,0,2,0,0,88852.47,0
214,CUS15594917,15594917,Miller,676,France,Female,34,1,63095.01,1,1,1,40645.81,0
215,CUS15785542,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0
216,CUS15723488,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
217,CUS15680920,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0
218,CUS15786308,15786308,Millar,730,Spain,Female,33,9,0,2,0,0,176576.62,0
219,CUS15659366,15659366,Shih,807,France,Male,43,1,105799.32,2,1,0,34888.04,1
220,CUS15774854,15774854,Fuller,592,France,Male,54,8,0,1,1,1,28737.71,1
221,CUS15725311,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0
222,CUS15787155,15787155,Yang,514,Spain,Male,30,7,0,1,0,1,125010.24,0
223,CUS15727829,15727829,McIntyre,567,France,Male,42,2,0,2,1,1,167984.61,0
224,CUS15733247,15733247,Stevenson,850,France,Male,33,10,0,1,1,0,4861.72,1
225,CUS15568748,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
226,CUS15699029,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0
227,CUS15774393,15774393,Ch'ien,694,France,Female,30,9,0,2,1,1,26960.31,0
228,CUS15676895,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1
229,CUS15637753,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
230,CUS15605461,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
231,CUS15808473,15808473,Ringrose,673,France,Male,72,1,0,2,0,1,111981.19,0
232,CUS15627000,15627000,Freeman,610,France,Male,40,0,0,2,1,0,62232.6,0
233,CUS15787174,15787174,Sergeyev,512,France,Female,37,1,0,2,0,1,156105.03,0
234,CUS15723886,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
235,CUS15704769,15704769,Smith,585,France,Female,67,5,113978.97,2,0,1,93146.11,0
236,CUS15772896,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
237,CUS15711540,15711540,Pacheco,712,France,Female,29,2,0,1,1,1,144375,0
238,CUS15764866,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
239,CUS15794056,15794056,Johnston,668,France,Female,46,2,0,3,1,0,89048.46,1
240,CUS15795149,15795149,Stevens,703,France,Male,28,2,81173.83,2,0,1,162812.16,0
241,CUS15812009,15812009,Grant,662,Spain,Male,38,4,0,2,1,0,136259.65,0
242,CUS15651001,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
243,CUS15813844,15813844,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0
244,CUS15596175,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
245,CUS15576269,15576269,Madison,523,Spain,Male,34,7,0,2,1,0,62030.06,0
246,CUS15797219,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1
247,CUS15685500,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,1,0,79414,0
248,CUS15599792,15599792,Dimauro,545,France,Female,26,1,0,2,1,1,199638.56,0
249,CUS15657566,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
250,CUS15772423,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
251,CUS15628112,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
252,CUS15753754,15753754,Morrison,587,Spain,Female,34,1,0,2,1,1,97932.68,0
253,CUS15793726,15793726,Matveyeva,681,France,Female,79,0,0,2,0,1,170968.99,0
254,CUS15694717,15694717,Ku,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
255,CUS15665834,15665834,Cheatham,696,Spain,Male,28,8,0,1,0,0,176713.47,0
256,CUS15765297,15765297,Yao,766,Spain,Male,41,0,0,2,0,1,34283.23,0
257,CUS15636684,15636684,Kirkland,727,France,Male,34,10,0,2,1,1,198637.34,0
258,CUS15592979,15592979,Rose,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0
259,CUS15750803,15750803,Jess,693,France,Female,30,6,127992.25,1,1,1,50457.2,0
260,CUS15607178,15607178,Welch,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
261,CUS15713853,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
262,CUS15673481,15673481,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
263,CUS15686776,15686776,Rossi,557,France,Female,32,6,184686.41,2,1,0,14956.44,0
264,CUS15673693,15673693,Reppert,682,France,Female,26,0,110654.02,1,0,1,111879.21,0
265,CUS15700696,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
266,CUS15813163,15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
267,CUS15653857,15653857,Wallis,498,France,Male,34,2,0,2,1,1,148528.24,0
268,CUS15777076,15777076,Clark,651,France,Male,36,7,0,2,1,0,13898.31,0
269,CUS15717398,15717398,Fielding,549,Spain,Female,39,7,0,1,0,0,81259.25,1
270,CUS15799217,15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0
271,CUS15787071,15787071,Dulhunty,650,Spain,Male,41,9,0,2,0,1,191599.67,0
272,CUS15619955,15619955,Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
273,CUS15796505,15796505,Boyle,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0
274,CUS15725166,15725166,Newton,707,France,Male,30,8,0,2,1,0,33159.37,0
275,CUS15800116,15800116,Bowman,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
276,CUS15758685,15758685,Dubinina,706,Spain,Female,37,7,0,2,1,1,110899.3,0
277,CUS15694456,15694456,Toscani,756,France,Male,62,3,0,1,1,1,11199.04,1
278,CUS15767339,15767339,Chiazagomekpere,777,France,Female,53,10,0,2,1,0,189992.97,0
279,CUS15683562,15683562,Allen,646,France,Male,35,6,84026.86,1,0,1,164255.69,0
280,CUS15782210,15782210,K'ung,714,France,Male,46,1,0,1,1,0,152167.79,1
281,CUS15668893,15668893,Wilsmore,782,France,Male,39,8,0,2,1,1,33949.67,0
282,CUS15669169,15669169,Hargreaves,775,Spain,Male,29,10,0,2,1,1,68143.93,0
283,CUS15643024,15643024,Huang,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
284,CUS15699389,15699389,Ch'ien,807,France,Male,42,7,118274.71,1,1,1,25885.72,0
285,CUS15708608,15708608,Wallwork,799,France,Female,22,8,174185.98,2,0,1,192633.85,0
286,CUS15626144,15626144,Chu,675,France,Male,40,7,113208.86,2,1,0,34577.36,0
287,CUS15573112,15573112,Kang,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
288,CUS15790678,15790678,Davidson,475,France,Female,32,8,119023.28,1,1,0,100816.29,0
289,CUS15727556,15727556,O'Donnell,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0
290,CUS15697307,15697307,Nnachetam,588,Spain,Male,34,10,0,2,1,0,79078.91,0
291,CUS15652266,15652266,Chidiebele,703,Germany,Male,42,9,63227,1,0,1,137316.32,0
292,CUS15607098,15607098,Ahmed,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0
293,CUS15655774,15655774,Booth,583,France,Male,27,7,0,2,1,0,51285.49,0
